producing_country_iso3,producing_country_name,producing_world_region,producing_sector_group,indicator,unit,value,analysis_year,model
RoW Asia and Pacific,RoW Asia and Pacific,Asia and Pacific,Services,land_use,km2,8.548177307211112,2019,EXIOBASE v3.7 IOT_2016_ixi
TWN,Taiwan,Asia and Pacific,Chemical,climate_change,kt CO2eq,8.487536500455333,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Electricity,climate_change,kt CO2eq,8.320217375766523,2019,EXIOBASE v3.7 IOT_2016_ixi
HUN,Hungary,Europe,Minerals and Metals,material_extraction,kt,8.219888730164477,2019,EXIOBASE v3.7 IOT_2016_ixi
CYP,Cyprus,Middle East,Transport,climate_change,kt CO2eq,7.899122502051617,2019,EXIOBASE v3.7 IOT_2016_ixi
HRV,Croatia,Europe,Minerals and Metals,material_extraction,kt,7.85711102319367,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW America,RoW America,America,Coal and Petroleum,climate_change,kt CO2eq,7.588940015969937,2019,EXIOBASE v3.7 IOT_2016_ixi
IND,India,Asia and Pacific,Food and catering,blue_water_consumption,Mm3,7.584161701527977,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Transport,waste_generation,kt,7.363923213754591,2019,EXIOBASE v3.7 IOT_2016_ixi
SWE,Sweden,Europe,Non-metallic mineral products,material_extraction,kt,7.305636614062765,2019,EXIOBASE v3.7 IOT_2016_ixi
IDN,Indonesia,Asia and Pacific,Chemical,climate_change,kt CO2eq,7.244116078329882,2019,EXIOBASE v3.7 IOT_2016_ixi
AUS,Australia,Asia and Pacific,Coal and Petroleum,climate_change,kt CO2eq,7.207951926648482,2019,EXIOBASE v3.7 IOT_2016_ixi
KOR,South Korea,Asia and Pacific,Electricity,climate_change,kt CO2eq,6.971470937217111,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Europe,RoW Europe,Europe,Minerals and Metals,material_extraction,kt,6.9602836827804,2019,EXIOBASE v3.7 IOT_2016_ixi
BRA,Brazil,America,Food and catering,blue_water_consumption,Mm3,6.798168848361594,2019,EXIOBASE v3.7 IOT_2016_ixi
RUS,Russia,Europe,"Steam, hot water supply and water distribution",climate_change,kt CO2eq,6.749827480134478,2019,EXIOBASE v3.7 IOT_2016_ixi
RoW Africa,RoW Africa,Africa,Services,land_use,km2,6.475216772775613,2019,EXIOBASE v3.7 IOT_2016_ixi
JPN,Japan,Asia and Pacific,Electricity,climate_change,kt CO2eq,6.469174680058139,2019,EXIOBASE v3.7 IOT_2016_ixi
BRA,Brazil,America,Coal and Petroleum,climate_change,kt CO2eq,6.357652344173614,2019,EXIOBASE v3.7 IOT_2016_ixi
JPN,Japan,Asia and Pacific,Minerals and Metals,material_extraction,kt,6.335556288904924,2019,EXIOBASE v3.7 IOT_2016_ixi
SWE,Sweden,Europe,Services,material_extraction,kt,6.261231156031648,2019,EXIOBASE v3.7 IOT_2016_ixi
CHE,Switzerland,Europe,Food and catering,land_use,km2,6.20667461162133,2019,EXIOBASE v3.7 IOT_2016_ixi
