model_id,indicator_id,demand_component_id,purchased_region_id,purchased_industry_id,value
1,1,1,3,80,6.041822984327427e-06
1,1,1,3,81,1.2477460769818798e-07
1,1,1,3,82,1.8707426523208693e-07
1,1,1,3,84,3.7045607593405817e-07
1,1,1,3,85,0.0001229491760173
1,1,1,3,86,0.0002674872788248
1,1,1,3,87,6.208413357225848e-06
1,1,1,3,88,6.0164254510474485e-05
1,1,1,3,89,5.139208378711989e-06
1,1,1,3,90,3.491120134946067e-06
1,1,1,3,91,7.299734573524769e-06
1,1,1,3,92,1.89797727182189e-05
1,1,1,3,93,1.555435053085476e-05
1,1,1,3,94,1.4177266357950892e-07
1,1,1,3,95,1.2940666000828657e-06
1,1,1,3,96,1.0271251114695664e-05
1,1,1,3,97,1.0295000438222299e-07
1,1,1,3,98,3.8256996709591915e-06
1,1,1,3,99,2.185152873382949e-08
1,1,1,3,100,3.8302341638565e-09
1,1,1,3,101,3.5789357830450175e-08
1,1,1,3,102,5.553919043154012e-10
1,1,1,3,107,6.258731265473151e-09
1,1,1,3,108,1.245103390024619e-07
1,1,1,3,109,3.125495877968203e-07
1,1,1,3,110,4.593906663273761e-07
1,1,1,3,111,4.0932291380286175e-06
1,1,1,3,112,4.6248310365291425e-07
1,1,1,3,113,0.0001295057615985
1,1,1,3,115,0.0001439557513833
1,1,1,3,116,5.9133903140019155e-05
1,1,1,3,117,0.0024230764519143
1,1,1,3,118,0.0007338012670962
1,1,1,3,119,0.0143804130169145
1,1,1,3,120,0.0002490514258227
1,1,1,3,121,0.0037846630234106
1,1,1,3,122,2.2370436995108622e-06
1,1,1,3,123,1.0124662200767816e-05
1,1,1,3,124,7.393047148190713e-07
1,1,1,3,125,3.5570496426989326e-05
1,1,1,3,126,0.0003532905933738
1,1,1,3,127,0.0001478514766981
1,1,1,3,128,4.637409352621426e-06
1,1,1,3,129,7.640654285171508e-06
1,1,1,3,130,5.68222106540977e-06
1,1,1,3,131,0.0003004817479859
1,1,1,3,132,1.329297973844502e-05
1,1,1,3,133,6.37917595219184e-06
1,1,1,3,134,0.0003395305298409
1,1,1,3,135,0.0009294348444639
1,1,1,3,136,5.471219913463552e-08
1,1,1,3,137,6.916907374135594e-07
1,1,1,3,138,3.0310481569112944e-06
1,1,1,3,139,1.5088290653529056e-07
1,1,1,3,140,1.9143690125368765e-07
1,1,1,3,141,2.527025805617721e-07
1,1,1,3,142,2.364376596551005e-07
1,1,1,3,143,1.739518719791988e-09
1,1,1,3,144,7.203365362823492e-08
1,1,1,3,145,1.651349982134625e-07
1,1,1,3,149,1.2280559943544735e-10
1,1,1,3,151,6.268688346002661e-07
1,1,1,3,152,6.836941805275669e-07
1,1,1,3,153,8.578123986869663e-07
1,1,1,3,154,5.267220450194405e-07
1,1,1,3,155,1.5818609160453596e-07
1,1,1,3,156,1.0648722432343196e-06
1,1,1,3,157,1.4605145731512713e-07
1,1,1,3,158,1.4077231132256616e-07
1,1,1,3,159,1.3202388349117883e-05
1,1,1,3,160,0.00014027379769
1,1,1,3,161,9.668393947085664e-05
1,1,1,4,2,1.1305471056985975e-09
1,1,1,4,3,4.5288728580026305e-10
1,1,1,4,8,2.384755104444749e-05
1,1,1,4,9,2.0878834939677818e-07
1,1,1,4,10,2.669197308151509e-07
1,1,1,4,11,1.421286278519296e-07
1,1,1,4,12,1.4827432380141125e-07
1,1,1,4,13,8.292901852512407e-09
1,1,1,4,14,1.859722529055288e-07
1,1,1,4,19,8.114344539113796e-09
1,1,1,4,26,3.607678324736021e-10
1,1,1,4,33,1.0687197048771716e-06
1,1,1,4,34,3.5023529082817392e-06
1,1,1,4,35,6.006807563056093e-07
1,1,1,4,36,2.611726280690698e-06
1,1,1,4,37,6.073397279660169e-08
1,1,1,4,38,1.0576892026323355e-07
1,1,1,4,39,1.3439976194575317e-08
1,1,1,4,40,0.0004852310145685
1,1,1,4,41,2.3575772419775787e-10
1,1,1,4,42,9.230171622343577e-09
1,1,1,4,43,0.0001772021690694
1,1,1,4,44,4.772559312517679e-05
1,1,1,4,45,8.75157551388019e-08
1,1,1,4,47,1.1317967658271446e-07
1,1,1,4,48,3.773814541631873e-08
1,1,1,4,49,4.884698510937744e-07
1,1,1,4,50,6.053671367702803e-08
1,1,1,4,51,1.0477031003002178e-08
1,1,1,4,52,2.2645400775703807e-11
1,1,1,4,53,2.8912145723958102e-09
1,1,1,4,54,2.8530180933014744e-07
1,1,1,4,55,4.0061000360925845e-08
1,1,1,4,59,1.4728920132191517e-08
1,1,1,4,60,1.1633764164636609e-07
1,1,1,4,62,2.8324038734786874e-12
1,1,1,4,63,7.126140662502379e-09
1,1,1,4,64,5.471502974278799e-06
1,1,1,4,67,3.320800658745821e-09
1,1,1,4,68,5.936377298165597e-09
1,1,1,4,69,6.358685319730883e-08
1,1,1,4,70,9.04523171385614e-09
1,1,1,4,71,1.6509329766566083e-08
1,1,1,4,72,1.0912498879850036e-08
1,1,1,4,74,7.97044794644009e-10
1,1,1,4,76,4.225370544472241e-09
1,1,1,4,78,2.4129002240301757e-10
1,1,1,4,80,6.443248035936039e-10
1,1,1,4,82,6.303682091715293e-12
1,1,1,4,85,2.1935966069131066e-07
1,1,1,4,86,2.692675622157686e-07
1,1,1,4,88,2.7886556603051824e-07
1,1,1,4,89,1.7530416017787494e-12
1,1,1,4,90,4.2656186849234775e-14
1,1,1,4,91,3.6690997227104154e-08
1,1,1,4,92,8.875943657775493e-10
