model_id,capital_treatment_id,indicator_id,producing_region_id,producing_industry_id,value
1,4,2,3,109,2.0488257942113535e-05
1,4,2,3,110,5.581051148613026e-05
1,4,2,3,111,5.117131794211514
1,4,2,3,112,0.0002314055987386
1,4,2,3,113,0.033194498513472
1,4,2,3,115,0.0094454495043326
1,4,2,3,116,0.0040214845953093
1,4,2,3,117,0.0462962711337545
1,4,2,3,118,0.0258903914435802
1,4,2,3,119,0.1055074425632492
1,4,2,3,120,0.0415564871254025
1,4,2,3,121,0.0824299940426755
1,4,2,3,122,0.2625862328577621
1,4,2,3,123,0.1016134822429471
1,4,2,3,124,0.0115131208218472
1,4,2,3,125,0.0981181972927906
1,4,2,3,126,0.0139299031342458
1,4,2,3,127,0.0016460724535836
1,4,2,3,128,0.0206984443481315
1,4,2,3,129,0.0224053610685626
1,4,2,3,130,0.0311299895788088
1,4,2,3,131,0.0082210411252298
1,4,2,3,132,0.0130872612658303
1,4,2,3,133,0.0014627283614136
1,4,2,3,134,0.0078614056237283
1,4,2,3,135,0.0078886000259513
