model_id,indicator_id,demand_component_id,producing_region_id,producing_industry_id,value
1,1,1,6,59,0.0405871495896413
1,1,1,6,60,0.0051211065071417
1,1,1,6,61,0.0026659402938831
1,1,1,6,62,0.0022196632283542
1,1,1,6,63,0.042225969662567
1,1,1,6,64,0.0006057893437098
1,1,1,6,65,4.272528211365025e-05
1,1,1,6,66,1.6123625033774007e-05
1,1,1,6,67,6.50174499811867e-05
1,1,1,6,68,3.3588184851841175e-05
1,1,1,6,69,0.0001352923618075
1,1,1,6,70,2.4926699375842224e-05
1,1,1,6,71,0.000344339422785
1,1,1,6,72,0.0034783695498246
1,1,1,6,73,0.0014203608012525
1,1,1,6,74,1.3056994465543412e-05
1,1,1,6,76,0.0017544262017916
1,1,1,6,77,0.0026134443961176
1,1,1,6,78,0.0004496065607553
1,1,1,6,79,0.0001600120117728
1,1,1,6,80,0.0001969521254959
1,1,1,6,81,1.696941249303046e-07
1,1,1,6,82,7.386434794011488e-05
1,1,1,6,84,7.674811548370558e-05
1,1,1,6,85,0.0003872390862047
