model_id,indicator_id,scope_id,producing_region_id,producing_industry_id,value
1,2,3,44,96,0.0097072486898201
1,2,3,44,99,1.5099652548934635e-05
1,2,3,44,101,0.0010327444785777
1,2,3,44,103,3.176845446124851e-07
1,2,3,44,108,5.320891953813696e-05
1,2,3,44,109,2.100756487425788e-05
1,2,3,44,111,3.5753967239414515e-06
1,2,3,45,96,0.2446189249273857
1,2,3,45,97,0.390368401629791
1,2,3,45,98,0.0012007008432103
1,2,3,45,99,0.000100614709716
1,2,3,45,100,0.0305720142686069
1,2,3,45,101,0.0539030742730575
1,2,3,45,102,0.0593101389385191
1,2,3,45,103,0.0008030317666421
1,2,3,45,105,1.429536850375058e-11
1,2,3,45,106,1.4615501110874389e-05
1,2,3,45,107,0.0006300958345708
1,2,3,45,108,0.0003750259158301
1,2,3,45,109,0.0003578459559888
1,2,3,45,111,0.9693380785071491
1,2,3,46,96,0.0332717763302219
1,2,3,46,97,0.0660808761618512
1,2,3,46,98,2.5882223468732325e-06
1,2,3,46,99,6.237180163402911e-06
1,2,3,46,100,0.0005891338498293
1,2,3,46,101,0.0314889211158261
1,2,3,46,102,0.0040749735798951
1,2,3,46,103,2.158191014070712e-09
1,2,3,46,105,3.5555913502273425e-08
1,2,3,46,106,2.144089901685352e-06
1,2,3,46,107,9.093075712660003e-05
1,2,3,46,108,0.0003414023920429
1,2,3,46,109,1.2194653461240804e-05
1,2,3,46,111,2.0236063052555423e-05
1,2,3,47,96,0.1967423168642624
1,2,3,47,97,0.0498212500235622
1,2,3,47,98,0.0004253841519715
1,2,3,47,99,0.0012918263511001
1,2,3,47,100,0.2422957163778161
1,2,3,47,101,0.011720124349992
1,2,3,47,102,0.0056803564705826
1,2,3,47,105,1.6674819901321136e-05
1,2,3,47,106,0.0008091757783762
1,2,3,47,107,0.0006333935082137
1,2,3,47,108,0.000343835914767
1,2,3,47,109,0.0002115267498187
1,2,3,47,111,0.665414968542618
1,2,3,48,96,0.0365359049300841
1,2,3,48,97,0.0646010862681935
1,2,3,48,98,3.1586384728296344e-08
1,2,3,48,99,8.468037445932014e-05
1,2,3,48,100,0.0016576568059528
1,2,3,48,101,0.0253200198364345
1,2,3,48,102,0.0090389206152007
1,2,3,48,103,0.0050570983763686
1,2,3,48,105,8.0300123931726e-05
1,2,3,48,106,0.0003761258726564
1,2,3,48,108,0.0010866832533146
1,2,3,48,109,0.0040084865610192
1,2,3,48,111,0.0002609492506844
1,2,3,49,96,0.0139327328027448
1,2,3,49,97,0.238718297823146
1,2,3,49,98,6.946249854716189e-07
1,2,3,49,99,0.0009206683984927
1,2,3,49,100,0.0140096548375847
1,2,3,49,101,0.0759625622955302
1,2,3,49,102,4.547055436073681e-05
1,2,3,49,103,1.3155189058129213e-17
1,2,3,49,105,0.000112861083999
1,2,3,49,106,8.279072769049862e-12
1,2,3,49,107,2.2776829986914083e-07
1,2,3,49,108,2.7486751536616604e-05
1,2,3,49,109,0.0002044400081328
1,2,3,49,111,1.0776141462843256e-07
1,2,4,1,2,0.0686533061873858
1,2,4,1,3,0.0903098818114053
1,2,4,1,4,0.0089692835446017
1,2,4,1,5,0.0285667347636934
1,2,4,1,6,0.0291586583880711
1,2,4,1,7,7.147462640418616e-05
1,2,4,1,8,0.0467799936405513
1,2,4,1,9,0.2115286360447461
1,2,4,1,10,0.0169384115771714
1,2,4,1,11,0.0118169730215946
1,2,4,1,12,0.0535823584010428
1,2,4,1,13,0.0011493902442506
1,2,4,1,14,0.3773451291999806
1,2,4,1,15,3.90356373823279e-06
1,2,4,1,18,0.0580563890369127
1,2,4,1,19,1.7910802480953564e-05
1,2,4,1,20,0.0061821068663028
1,2,4,1,21,0.2760683964059918
1,2,4,1,22,0.4776430670082128
1,2,4,1,25,0.0150507256769436
1,2,4,1,31,0.0035862940943001
1,2,4,1,32,0.0618065320985186
1,2,4,1,33,0.2047681154717587
1,2,4,1,34,0.0172848754992269
1,2,4,1,35,0.0054699003710589
1,2,4,1,36,0.0059657184814994
1,2,4,1,37,0.0007160139913486
1,2,4,1,38,0.000332475317637
1,2,4,1,39,0.0016518258124715
1,2,4,1,40,0.0257092035117771
1,2,4,1,41,0.000401454649433
1,2,4,1,42,0.0027060498602916
1,2,4,1,43,0.0299848037452293
1,2,4,1,44,0.0405196061510473
1,2,4,1,45,0.0030302977202058
1,2,4,1,46,0.0035532243626828
1,2,4,1,47,0.0063872839160517
1,2,4,1,48,0.000608362719753
1,2,4,1,49,0.00022531795444
1,2,4,1,50,0.0132895922235817
1,2,4,1,51,0.0129971630216538
1,2,4,1,52,0.0398986858459862
1,2,4,1,53,0.0484328730687353
1,2,4,1,54,0.0806568387086707
1,2,4,1,55,0.0522190194222623
1,2,4,1,56,0.0718115605329133
1,2,4,1,57,0.4335005581357923
1,2,4,1,58,0.0192371215169713
1,2,4,1,59,0.4884727222401669
1,2,4,1,60,0.3759971372280926
1,2,4,1,61,0.0065767357453015
1,2,4,1,62,0.0095010431338623
1,2,4,1,63,0.5832884675187189
1,2,4,1,64,0.0068854584862297
1,2,4,1,65,0.0058852726294081
1,2,4,1,66,0.0057123660841893
1,2,4,1,67,0.0071577191872002
1,2,4,1,68,0.0035783146475666
1,2,4,1,69,0.1165661577480894
1,2,4,1,70,0.0293511941553481
1,2,4,1,71,0.0509005122952872
1,2,4,1,72,0.1541272251250625
1,2,4,1,73,0.0362520545949265
1,2,4,1,74,0.002144793975025
