country_producing,sector_producing,background_year,analysis_year,country_consuming,sector_consuming,value,unit
DNK,Sea and coastal water transport,2016,2019,DNK,Incineration of waste: Textiles,0.049173209197533936,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Pulp,0.04837420996311273,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Incineration of waste: Plastic,0.047661500994181226,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,N-fertiliser,0.046608765538376895,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Waste water treatment, other",0.04533037653690856,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Steam and hot water supply,0.04384569487661139,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Incineration of waste: Metals and Inert materials,0.03054978000499519,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Transmission of electricity,0.02557074973662406,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Meat animals nec,0.0242454041069688,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Production of electricity by wind,0.02363211688525837,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Mining of coal and lignite; extraction of peat (10),0.022338912791197294,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,"Waste water treatment, food",0.021367056025760073,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Cultivation of oil seeds,0.01711022282636313,M.EUR
DNK,Sea and coastal water transport,2016,2019,DNK,Quarrying of stone,0.01490608730372015,M.EUR
