study,consuming_country_iso3,reference_year,figure,article_page,indicator,figure_group,published_share_pct,archive_share_pct,difference_pp,note,source
steenmeijer_2022,NLD,2016,3,e955,material_extraction,Americas,5.139,5.178975386359104,0.039975386359103915,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,material_extraction,Middle East,10.087,10.075808180825224,-0.011191819174776185,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,material_extraction,Europe (excluding the Netherlands),6.186,6.140500172484662,-0.04549982751533754,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,material_extraction,Asia-Pacific,74.799,74.7933022489272,-0.005697751072801793,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,material_extraction,Netherlands,2.429,2.4587587911173534,0.029758791117353578,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,blue_water_consumption,Africa,7.261,7.224137403777721,-0.03686259622227883,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,blue_water_consumption,Americas,14.179,14.165218645054013,-0.01378135494598709,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,blue_water_consumption,Middle East,28.929,28.954788656790267,0.02578865679026876,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,blue_water_consumption,Europe (excluding the Netherlands),6.661,6.705323348830771,0.044323348830771714,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,blue_water_consumption,Asia-Pacific,40.444,40.429020923914784,-0.014979076085218423,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,blue_water_consumption,Netherlands,2.524,2.521511021632437,-0.0024889783675630106,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,land_use,Africa,16.396,16.391599525061906,-0.0044004749380945896,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,land_use,Americas,28.835,28.869857400474356,0.034857400474354705,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,land_use,Middle East,2.855,2.7738930989687773,-0.08110690103122264,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,land_use,Europe (excluding the Netherlands),22.649,22.6776228621738,0.028622862173797614,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,land_use,Asia-Pacific,28.264,28.252841886996368,-0.011158113003631343,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,land_use,Netherlands,1.002,1.0341852263247964,0.03218522632479637,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,waste_generation,Africa,5.928,5.93081994587636,0.0028199458763600305,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,waste_generation,Americas,37.209,37.190439002774255,-0.01856099722574811,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,waste_generation,Middle East,5.234,5.23164708605437,-0.0023529139456304193,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,waste_generation,Europe (excluding the Netherlands),12.181,12.16887402723271,-0.012125972767289994,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,waste_generation,Asia-Pacific,25.504,25.507210616594598,0.003210616594596871,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
steenmeijer_2022,NLD,2016,3,e955,waste_generation,Netherlands,13.944,13.971009321467712,0.027009321467710734,,"Steenmeijer et al. (2022) figure 3, p e955, segment geometry of the published vector figure; archive share from https://github.com/rivm-syso/envr-footprint-healthcare"
