study,consuming_country_iso3,reference_year,ghg_protocol_scope,producing_country_name,indicator,unit,value,source
steenmeijer_2022,NLD,2016,Indirect,Cyprus,blue_water_consumption,Mm3,0.06209095580215435,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Czech Republic,blue_water_consumption,Mm3,0.1039740071904568,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Denmark,blue_water_consumption,Mm3,0.07247797392153203,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Estonia,blue_water_consumption,Mm3,0.008366700952666504,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Finland,blue_water_consumption,Mm3,0.1018894992262991,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,France,blue_water_consumption,Mm3,1.395525215871767,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Germany,blue_water_consumption,Mm3,1.62851004908513,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Global,blue_water_consumption,Mm3,0.2925,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Greece,blue_water_consumption,Mm3,0.6403224666860197,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,Indirect,Hungary,blue_water_consumption,Mm3,0.2117928580904469,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#allreg (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
