study,consuming_country_iso3,reference_year,producing_country_iso3,producing_country_name,producing_world_region,producing_sector_code,producing_sector_name,producing_sector_group,component_type,ghg_protocol_scope,indicator,unit,value,source
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,FISH,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Food and catering,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,6.013367721908635e-05,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,COAL,Mining of coal and lignite; extraction of peat (10),Coal and Petroleum,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.03333681769536141,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,COIL,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",Coal and Petroleum,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.05349127387345926,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,GASE,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",Natural gas and gaseous fuels,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.2510884101728226,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,OGPL,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",Natural gas and gaseous fuels,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,ORAN,Mining of uranium and thorium ores (12),Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,IRON,Mining of iron ores,Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.02643540371860271,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,COPO,Mining of copper ores and concentrates,Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.0,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,NIKO,Mining of nickel ores and concentrates,Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,1.01431464795096e-05,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,ALUO,Mining of aluminium ores and concentrates,Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.0001451333701037957,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,PREO,Mining of precious metal ores and concentrates,Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,8.937863662626012e-05,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,LZTO,"Mining of lead, zinc and tin ores and concentrates",Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,2.098975595669064e-05,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,ONFO,Mining of other non-ferrous metal ores and concentrates,Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.005579837887326949,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,STON,Quarrying of stone,Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.1123171405456663,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
steenmeijer_2022,NLD,2016,AUT,Austria,Europe,SDCL,Quarrying of sand and clay,Minerals and Metals,MRIO supply-chain node,Indirect,climate_change,kt CO2eq,0.269186449552172,archive/rivm_steenmeijer_2022/output/HotspotAnalysis.xlsx#full (upstream https://github.com/rivm-syso/envr-footprint-healthcare)
